simDay,A,D,E,I1,I2,R1,R2,S
123,0.04189390594607518,0.0009502689735431634,0.0016679818720573272,0.002162440094359437,0.003262873626729577,0.048836464407346215,0.0888073766051556,0.8124186884747333
124,0.04161428812334885,0.0009698143224839705,0.001619044807244276,0.002112854601847606,0.003221101269330771,0.049269779502145866,0.09105994034191266,0.810133177031686
125,0.041300586938661246,0.0009890886106568534,0.0015718544091104804,0.002061963675070129,0.0031763275169002566,0.04967184092258157,0.09331327513478874,0.807915062792231
126,0.04095551019938996,0.0010080699760564675,0.0015252976105788055,0.002010172388244923,0.0031287285247699526,0.05004259469230415,0.09556541310200645,0.805764213506649
127,0.040582562832572625,0.0010267346320712249,0.0014769120950894096,0.00195798623175879,0.00307850340331921,0.05038211148355541,0.09781444164839118,0.8036807476732425
128,0.04017981630655641,0.0010450842112510591,0.0014325011305685756,0.0019049691804828264,0.00302589249180483,0.05069077273125143,0.10005852799056557,0.8016624359575193
129,0.03975351674640308,0.0010630852328013347,0.0013852936271502557,0.0018520558422156438,0.002971093615337828,0.05096877199815942,0.10229587020644675,0.7997103127314856
130,0.03930175905009838,0.0010807435261842877,0.0013403735623540775,0.0017987652794710248,0.002914359022739397,0.051216779852534,0.104524855283657,0.7978223644229614
131,0.03882764885752405,0.0010980381948136077,0.0012952426239033138,0.0017454903625230048,0.002855884609251922,0.05143522217140606,0.10674385530611692,0.7959986178744606
132,0.03833275728264742,0.0011149613288985955,0.001250537222543429,0.0016923736678283734,0.002795866899126521,0.05162459619403703,0.10895123079290221,0.7942376766120162
133,0.03781765955825472,0.0011315122970158877,0.0012083584341434363,0.0016393703921112263,0.002734517285559618,0.051785536879869976,0.11114541836700907,0.7925376267860358
134,0.037286349964927315,0.0011476694386929641,0.0011650166974454328,0.001586996878569511,0.002672035458514625,0.05191862154411936,0.11332494374051034,0.7908983662772207
135,0.03673797177433083,0.0011634447336098985,0.0011242043252003334,0.0015349405978293787,0.002608627191385176,0.052024751102516004,0.11548850312526743,0.7893175571498606
136,0.0361758971645964,0.0011788206909586,0.0010829843095233843,0.001483603670502637,0.002544485588937499,0.052104616272684236,0.11763477700446474,0.7877948152983322
137,0.03560050514763595,0.0011938011735152618,0.001043164832576389,0.0014328914159277243,0.002479791085870337,0.05215904794471707,0.11976253136488141,0.7863282670348756
138,0.03501330764778165,0.001208384805859316,0.0010050177360427432,0.0013829013076190168,0.002414715283246951,0.05218883319784201,0.12187054909636122,0.7849162909252468
139,0.03441712423176937,0.001222561944039673,0.0009665382828564917,0.0013339394560891256,0.0023494276359461294,0.052194769935745164,0.12395770251116259,0.7835579360023915
140,0.03381139191306006,0.001236346156230757,0.0009309010684630108,0.0012857444903126198,0.002284095962758427,0.052177801619706345,0.12602294293186628,0.7822507758576025
141,0.03319938584978754,0.0012497255325795013,0.0008947645833967623,0.001238691579269592,0.0022188707090351313,0.05213882123257703,0.12806539020219102,0.7809943503111627
142,0.03258097108787624,0.0012627116190905587,0.0008603658428068303,0.0011925933743526353,0.0021538990187394014,0.05207877663081281,0.13008414796071313,0.7797865344656081
143,0.03195780715040691,0.0012753032789841593,0.0008269428098896927,0.0011475658697861144,0.002089311489768782,0.051998564912321285,0.13207841625903183,0.7786260882298109
144,0.03133145288154212,0.0012875014750383833,0.000794068625321335,0.0011037129890531876,0.0020252294194607365,0.05189905612277277,0.1340474101208805,0.777511568365931
145,0.030702024665208938,0.001299318602986643,0.000763330305965714,0.0010608981015233323,0.0019617660461149285,0.05178119479024057,0.13599044358756196,0.7764410239003982
146,0.030072053426799344,0.001310748355903429,0.0007325448353669991,0.0010193864825005323,0.0018990314791691935,0.051645840833447566,0.13790687496027865,0.7754135196265342
147,0.029441280525803692,0.00132180671309249,0.0007034335481197195,0.0009789819900142994,0.0018371235193216965,0.051493986991719046,0.13979620955292055,0.7744271771590083
148,0.02881122713820891,0.0013324930844708415,0.0006750143935685164,0.0009397918930390392,0.0017761303495034753,0.05132649506410648,0.14165795996892522,0.7734808881081773
149,0.028182708638370267,0.0013428154342758124,0.0006475399621002374,0.0009018115712914831,0.0017161284775682462,0.05114422920389101,0.14349166132107732,0.7725731053914253
150,0.027556301534011805,0.001352783951740133,0.0006215079353580123,0.0008649986105700087,0.0016571885708018953,0.05094806247147235,0.14529691312464138,0.7717022438014037
151,0.02693345209271428,0.0013623983492033768,0.00059585836070613,0.0008294571581926753,0.0015993792360234904,0.05073881950506653,0.1470733803730822,0.7708672549250112
152,0.026314130513935465,0.0013716752120587015,0.0005716737092458903,0.0007950559864015728,0.0015427496550063106,0.05051739370065857,0.14882083315586828,0.7700664880668253
153,0.02569960538707367,0.001380614940520372,0.0005479931261159464,0.0007618791873587491,0.0014873544543950088,0.05028457689765277,0.1505390419865137,0.7692989340203695
154,0.02509015748761863,0.0013892294472182766,0.000525344302268254,0.0007298561598633697,0.001433230805299456,0.05004117584806814,0.1522278344982383,0.7685631714514254
155,0.02448641219006981,0.0013975269729719292,0.0005037321467934675,0.00069897701054973,0.0013804122131644754,0.04978795460138835,0.1538870575422102,0.767857927322852
156,0.023889270459195734,0.0014055117732382635,0.00048261019417636034,0.0006692811119772078,0.0013289298747977943,0.049525653762300455,0.1555166099715674,0.7671821328527465
157,0.02329869297199192,0.0014131987508633206,0.0004628115841885635,0.0006406584344866333,0.0012788025870240469,0.049255024225331255,0.1571164355231302,0.7665343759229837
158,0.022715660785310933,0.0014205897361617885,0.00044338604099659,0.0006131746094296965,0.0012300496967973106,0.048976773998546504,0.15868656144990756,0.7659138036828497
159,0.02214019326041678,0.001427698152963511,0.0004249304894241457,0.0005867399518010165,0.0011826796993842583,0.048691600557967084,0.1602270095428463,0.7653191483451968
160,0.021572783675584965,0.0014345305482648474,0.00040720607398741837,0.0005613493165950971,0.0011366989302395362,0.0484001604660813,0.16173784958711745,0.7647494214021298
